LOGRADOURO,BAIRRO,CIDADE/ESTADO,BAIRRO.1,CEP
Travessa Daniel Silveira Mello,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04136-060
Rua Dias de Toledo,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04143-030
Rua Diogo Freire,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04148-010
Rua Dom Macário,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04292-000
Rua Dom Macário 303,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04292-900
Rua Dom Pedro Eggerath,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04292-080
Rua Dom Sebastião Tomás,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04136-100
Travessa Domingos Fazolin,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04294-005
Rua Domingos de Rogatis,Jardim da Saúde,"São Paulo, SP","Jardim da Saúde, São Paulo, SP",04290-080
Rua Dona Cesária Fagundes,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04054-030
Rua Doutor Antenor Nascimento Filho,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04148-060
Praça Doutor Katsumi Sanda,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04148-005
Rua Doutor Luis Augusto Pereira de Queirós,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04292-060
Rua Doutor Nicolau Alberto Defina,Jardim da Saúde,"São Paulo, SP","Jardim da Saúde, São Paulo, SP",04291-000
Rua Doutor Nogueira Martins,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04143-020
Rua Doutor Pedro de Azevedo,Vila da Saúde,"São Paulo, SP","Vila da Saúde, São Paulo, SP",04144-080
Rua Doutor Samuel Porto,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04054-010
Rua Décio,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04055-090
Rua Embaixador Raul Garcia,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04127-010
Rua Emílio Lang Júnior,Jardim da Saúde,"São Paulo, SP","Jardim da Saúde, São Paulo, SP",04291-050
Rua Engenheiro João Monteiro da Gama,Vila da Saúde,"São Paulo, SP","Vila da Saúde, São Paulo, SP",04144-120
Rua Engenheiro Toledo Malta,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04053-090
Rua Engenheiro Valter Neumann,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04136-120
Rua Enjolras Vampre,Jardim da Saúde,"São Paulo, SP","Jardim da Saúde, São Paulo, SP",04290-070
Rua Estero Belaco,Vila da Saúde,"São Paulo, SP","Vila da Saúde, São Paulo, SP",04145-020
Rua Estéfano Franceschini,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04293-037
Rua Eugênio Falk,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04292-110
Rua Eugênio Falk 368,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04292-901
Rua Eva Bloch,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04127-110
Rua Fagundes Dias,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04055-000
Rua Fagundes Dias 258/298,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04055-900
Rua Fiação da Saúde,Vila da Saúde,"São Paulo, SP","Vila da Saúde, São Paulo, SP",04144-020
Rua Fiação da Saúde 145,Vila da Saúde,"São Paulo, SP","Vila da Saúde, São Paulo, SP",04144-902
Rua Fiação da Saúde 194/260,Vila da Saúde,"São Paulo, SP","Vila da Saúde, São Paulo, SP",04144-900
Rua Fidelino de Figueiredo,Vila da Saúde,"São Paulo, SP","Vila da Saúde, São Paulo, SP",04144-130
Rua Filipe Cardoso,Jardim da Saúde,"São Paulo, SP","Jardim da Saúde, São Paulo, SP",04149-080
Praça Flávio Xavier de Toledo,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04150-020
Rua Fonseca da Costa,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04151-060
Rua Franca Faro,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04142-030
Rua Francesco Dai Libri,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04293-080
Rua Francisco Dias,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04148-000
Rua Francisco Giuseppe Giordano,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04292-010
Rua Francisco Gomes da Silva Prado,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04148-080
Rua Francisco Maldonado,Jardim da Saúde,"São Paulo, SP","Jardim da Saúde, São Paulo, SP",04149-100
Rua Franklim Sampaio,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04055-080
Rua França Júnior,Jardim da Saúde,"São Paulo, SP","Jardim da Saúde, São Paulo, SP",04290-010
Praça Frei José Maria Lorenzetti,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04293-010
Praça Frei Miguel Lanzani,Jardim da Saúde,"São Paulo, SP","Jardim da Saúde, São Paulo, SP",04149-040
Rua Frei Rolim,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04151-000
Rua Gabriel Jano,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04054-060
Rua General Camisão,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04143-040
Rua General Chagas Santos - até 583/584,Vila da Saúde,"São Paulo, SP","Vila da Saúde, São Paulo, SP",04146-050
Rua General Chagas Santos 314,Vila da Saúde,"São Paulo, SP","Vila da Saúde, São Paulo, SP",04146-910
Rua General Chagas Santos - de 585/586 ao fim,Vila da Saúde,"São Paulo, SP","Vila da Saúde, São Paulo, SP",04146-051
Rua General Lindolfo Câmara Filho,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04137-030
Rua General Serra Martins,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04142-010
Rua Germano Amaro,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04127-020
Rua Gil Fernandes,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04148-020
Praça Giovanni da Modena,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04151-030
Rua Gorita,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04054-080
Rua Gravi,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04143-050
Rua Guairá,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04142-020
Praça Guaraci,Vila da Saúde,"São Paulo, SP","Vila da Saúde, São Paulo, SP",04145-040
Rua Guararema - até 497/498,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04136-030
Rua Guararema - de 499/500 ao fim,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04136-031
Rua Helena Londanl,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04135-010
Rua Henrique Neri Ramos,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04293-040
Rua Hipócrates,Jardim da Saúde,"São Paulo, SP","Jardim da Saúde, São Paulo, SP",04149-030
Praça Hiyoshi Ihara,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04149-121
Rua Ibirama,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04294-060
Rua Ibirarema,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04136-000
Avenida Inhaíba,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04292-050
Rua Isaías Salomão,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04055-050
Rua Isaías Salomão 101,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04055-901
Avenida Itaboraí - até 615/616,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04135-000
Avenida Itaboraí - de 617/618 ao fim,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04135-001
Rua Italva,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04294-030
Rua Itapiru,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04143-010
Rua Itaucama,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04135-040
Alameda Itupiranga,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04294-090
Rua Ituxi,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04055-020
Rua Izar,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04127-070
Rua Jacui,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04053-010
Rua Jaguari,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04137-080
Rua James Adam,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04127-050
Rua Joana de Góis,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04294-080
Rua Joaquim Capela Sobrinho,Vila da Saúde,"São Paulo, SP","Vila da Saúde, São Paulo, SP",04144-090
Rua Jocelino da Cruz,Vila da Saúde,"São Paulo, SP","Vila da Saúde, São Paulo, SP",04146-080
Rua José Alves Passos,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04127-090
Rua José Clóvis de Castro,Jardim da Saúde,"São Paulo, SP","Jardim da Saúde, São Paulo, SP",04290-100
Rua José Marti,Jardim da Saúde,"São Paulo, SP","Jardim da Saúde, São Paulo, SP",04291-010
Rua José Modesto de Godói,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04293-060
Praça José Rocha,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04292-040
Rua José Romani,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04293-035
Praça José Victor de Moura Ramos,Jardim Saúde,"São Paulo, SP","Jardim Saúde, São Paulo, SP",04149-050
Praça José Vítor de Moura Ramos,Jardim Saúde,"São Paulo, SP","Jardim Saúde, São Paulo, SP",04291-030
Praça João Rodrigues,Jardim da Saúde,"São Paulo, SP","Jardim da Saúde, São Paulo, SP",04290-090
Rua João Rugna,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04151-090
Rua Jussara,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04137-060
Rua Juvenal Galeno,Jardim da Saúde,"São Paulo, SP","Jardim da Saúde, São Paulo, SP",04290-030
Rua Juá,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04138-020
Travessa Júlio Pereira Brum,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04137-090
Praça Leonor Kaupa,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04151-100
Praça Leonor Kaupa 100,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04151-900
Rua Leão Belenki,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04054-050
Travessa Licímio,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04136-130
Rua Lomas Valentinas,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04138-030
Rua Lourenço Geraldo Basto,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04132-010
Rua Lustosa da Cunha,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04150-030
Rua Macarani,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04151-080
Rua Madame Curie,Jardim da Saúde,"São Paulo, SP","Jardim da Saúde, São Paulo, SP",04290-060
Rua Manoel Carneiro Silva,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04148-050
Rua Manoel Coelho da Silva,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04137-000
Rua Manoel Correia Júnior,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04055-100
Rua Manoel José,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04136-160
Praça Manoel Seabra,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04135-060
Rua Maquerobi,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04053-030
Rua Marcos Fernandes,Jardim da Saúde,"São Paulo, SP","Jardim da Saúde, São Paulo, SP",04149-120
Rua Maria Aparecida Rocha,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04293-033
Rua Maria José Nogueira,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04127-130
Praça Maria Mahmoud Amad,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04292-020
Rua Maria das Dores Braga,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04137-020
Rua Marquês de Herval,Vila da Saúde,"São Paulo, SP","Vila da Saúde, São Paulo, SP",04146-010
Rua Martim Peres,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04148-030
Rua Martinho Guedes,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04294-110
Rua Martínia,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04137-070
Rua Massaim,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04151-010
Rua Matias Teixeira,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04136-170
Rua Mauro - até 339/340,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04055-040
Rua Mauro - de 341/342 ao fim,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04055-041
Avenida Miguel Estefno - até 741 - lado ímpar,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04301-010
Avenida Miguel Estefno 1973,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04301-900
Avenida Miguel Estefno 3900,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04301-903
Avenida Miguel Estefno 4200,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04301-904
Avenida Miguel Estefno 3031,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04301-902
Avenida Miguel Estefno 3030,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04301-901
Avenida Miguel Estefno 4241,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04301-905
Avenida Miguel Estefno - até 1110 - lado par,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04301-000
Avenida Miguel Estefno - de 743 a 1851 - lado ímpar,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04301-011
Avenida Miguel Estefno - de 1112 a 2140 - lado par,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04301-001
Avenida Miguel Estefno - de 1853 ao fim - lado ímpar,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04301-012
Avenida Miguel Estefno - de 2142 ao fim - lado par,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04301-002
Viaduto Ministro Aliomar Baleeiro,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04301-006
Rua Ministro Frederico Marques,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04135-050
Travessa Miratoá,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04119-085
Praça Mozart de Brito Firmeza,Jardim da Saúde,"São Paulo, SP","Jardim da Saúde, São Paulo, SP",04290-040
Rua Muller Carioba,Jardim da Saúde,"São Paulo, SP","Jardim da Saúde, São Paulo, SP",04291-020
Rua Murilo de Campos,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04150-050
Rua Nelo Viviani,Vila da Saúde,"São Paulo, SP","Vila da Saúde, São Paulo, SP",04145-050
Rua Nhumirim,Saúde,"São Paulo, SP","Saúde, São Paulo, SP",04294-040
Rua Nicola Boralli,Jardim da Saúde,"São Paulo, SP","Jardim da Saúde, São Paulo, SP",04291-060
Rua Nossa Senhora da Saude,Vila das Mercês,"São Paulo, SP","Vila das Mercês, São Paulo, SP",04159-090
Rua Nossa Senhora da Saúde - até 795/796,Jardim Previdência,"São Paulo, SP","Jardim Previdência, São Paulo, SP",04159-000
Rua Nossa Senhora da Saúde - de 797/798 ao fim,Jardim Previdência,"São Paulo, SP","Jardim Previdência, São Paulo, SP",04159-001
Rua Nossa Senhora da Saúde 287,Jardim Previdência,"São Paulo, SP","Jardim Previdência, São Paulo, SP",04159-900
Rua Nova Pátria,Bosque da Saúde,"São Paulo, SP","Bosque da Saúde, São Paulo, SP",04151-050
Rua Oneyda Alvarenga,Vila da Saúde,"São Paulo, SP","Vila da Saúde, São Paulo, SP",04146-020
Rua Alcides Bezerra,Sé,"São Paulo, SP","Sé, São Paulo, SP",01019-040
Rua Alexandria,Sé,"São Paulo, SP","Sé, São Paulo, SP",01020-050
Rua Anchieta,Sé,"São Paulo, SP","Sé, São Paulo, SP",01016-030
Rua Anchieta 35,Sé,"São Paulo, SP","Sé, São Paulo, SP",01016-900
Rua Anita Ferraz,Sé,"São Paulo, SP","Sé, São Paulo, SP",01505-010
Rua Anita Garibaldi,Sé,"São Paulo, SP","Sé, São Paulo, SP",01018-020
Rua Assembléia,Sé,"São Paulo, SP","Sé, São Paulo, SP",01320-050
Avenida Rangel Pestana 300 Térreo .,Sé,"São Paulo, SP","Sé, São Paulo, SP",01017-970
Rua Barão de Paranapiacaba,Sé,"São Paulo, SP","Sé, São Paulo, SP",01004-000
Rua Barão de Paranapiacaba 93,Sé,"São Paulo, SP","Sé, São Paulo, SP",01004-904
Rua Benjamin Constant,Sé,"São Paulo, SP","Sé, São Paulo, SP",01005-000
Rua Benjamin Constant 153,Sé,"São Paulo, SP","Sé, São Paulo, SP",01005-900
Viaduto Brigadeiro Luiz Antônio,Sé,"São Paulo, SP","Sé, São Paulo, SP",01006-030
Praça Clóvis Beviláqua - lado par,Sé,"São Paulo, SP","Sé, São Paulo, SP",01018-000
Praça Clóvis Beviláqua - lado ímpar,Sé,"São Paulo, SP","Sé, São Paulo, SP",01018-001
Rua Conde de Sarzedas,Sé,"São Paulo, SP","Sé, São Paulo, SP",01512-000
Rua Cristóvão Colombo,Sé,"São Paulo, SP","Sé, São Paulo, SP",01006-020
Rua Direita - lado ímpar,Sé,"São Paulo, SP","Sé, São Paulo, SP",01002-001
Rua Direita 250,Sé,"São Paulo, SP","Sé, São Paulo, SP",01002-903
Rua Direita 191,Sé,"São Paulo, SP","Sé, São Paulo, SP",01002-902
Rua Direita 32,Sé,"São Paulo, SP","Sé, São Paulo, SP",01002-901
Rua Direita - lado par,Sé,"São Paulo, SP","Sé, São Paulo, SP",01002-000
Rua Doutor Bettencourt Rodrigues,Sé,"São Paulo, SP","Sé, São Paulo, SP",01017-010
Rua Doutor Bettencourt Rodrigues 88,Sé,"São Paulo, SP","Sé, São Paulo, SP",01017-907
Rua Doutor Bettencourt Rodrigues 112,Sé,"São Paulo, SP","Sé, São Paulo, SP",01017-908
Rua Doutor Bettencourt Rodrigues 155,Sé,"São Paulo, SP","Sé, São Paulo, SP",01017-909
Rua Doutor Bettencourt Rodrigues 196,Sé,"São Paulo, SP","Sé, São Paulo, SP",01017-910
Rua Egas Moniz de Aragão,Sé,"São Paulo, SP","Sé, São Paulo, SP",01505-040
Rua Filipe de Oliveira,Sé,"São Paulo, SP","Sé, São Paulo, SP",01001-010
Rua Floriano Peixoto,Sé,"São Paulo, SP","Sé, São Paulo, SP",01016-050
Rua Frederico Alvarenga,Sé,"São Paulo, SP","Sé, São Paulo, SP",01020-030
Rua Joaquim dos Santos Andrade,Sé,"São Paulo, SP","Sé, São Paulo, SP",01019-030
Rua José Bonifácio - lado par,Sé,"São Paulo, SP","Sé, São Paulo, SP",01003-000
Rua José Bonifácio 367,Sé,"São Paulo, SP","Sé, São Paulo, SP",01003-905
Rua José Bonifácio 278,Sé,"São Paulo, SP","Sé, São Paulo, SP",01003-904
Rua José Bonifácio 250,Sé,"São Paulo, SP","Sé, São Paulo, SP",01003-903
Rua José Bonifácio 209,Sé,"São Paulo, SP","Sé, São Paulo, SP",01003-902
Rua José Bonifácio 93,Sé,"São Paulo, SP","Sé, São Paulo, SP",01003-901
Rua José Bonifácio 24,Sé,"São Paulo, SP","Sé, São Paulo, SP",01003-900
Rua José Bonifácio - lado ímpar,Sé,"São Paulo, SP","Sé, São Paulo, SP",01003-001
Rua Livreiro Alves,Sé,"São Paulo, SP","Sé, São Paulo, SP",01505-020
Rua Lousada,Sé,"São Paulo, SP","Sé, São Paulo, SP",01020-040
Viaduto Mercúrio,Sé,"São Paulo, SP","Sé, São Paulo, SP",01017-030
Rua Nioac,Sé,"São Paulo, SP","Sé, São Paulo, SP",01020-020
Rua Onze de Agosto,Sé,"São Paulo, SP","Sé, São Paulo, SP",01018-010
Praça Ouvidor Pacheco e Silva,Sé,"São Paulo, SP","Sé, São Paulo, SP",01003-010
Praça Paulo Alfeu de Monteiro Duarte,Sé,"São Paulo, SP","Sé, São Paulo, SP",01006-040
Largo Pátio do Colégio,Sé,"São Paulo, SP","Sé, São Paulo, SP",01016-040
Rua Quintino Bocaiúva,Sé,"São Paulo, SP","Sé, São Paulo, SP",01004-010
Rua Quintino Bocaiúva 231,Sé,"São Paulo, SP","Sé, São Paulo, SP",01004-903
Rua Quintino Bocaiúva 191,Sé,"São Paulo, SP","Sé, São Paulo, SP",01004-902
Rua Quintino Bocaiúva 176,Sé,"São Paulo, SP","Sé, São Paulo, SP",01004-901
Rua Quintino Bocaiúva 71,Sé,"São Paulo, SP","Sé, São Paulo, SP",01004-900
Rua Riachuelo,Sé,"São Paulo, SP","Sé, São Paulo, SP",01007-000
Rua Riachuelo 115,Sé,"São Paulo, SP","Sé, São Paulo, SP",01007-904
Rua Riachuelo 44,Sé,"São Paulo, SP","Sé, São Paulo, SP",01007-901
Rua Riachuelo 20,Sé,"São Paulo, SP","Sé, São Paulo, SP",01007-905
Rua Riachuelo 231,Sé,"São Paulo, SP","Sé, São Paulo, SP",01007-906
Rua Roberto Simonsen,Sé,"São Paulo, SP","Sé, São Paulo, SP",01017-020
Rua Roberto Simonsen 62,Sé,"São Paulo, SP","Sé, São Paulo, SP",01017-902
Rua Roberto Simonsen 106,Sé,"São Paulo, SP","Sé, São Paulo, SP",01017-903
Travessa Rugero,Sé,"São Paulo, SP","Sé, São Paulo, SP",01505-070
Rua Senador Feijó - lado ímpar,Sé,"São Paulo, SP","Sé, São Paulo, SP",01006-001
Rua Senador Feijó 69,Sé,"São Paulo, SP","Sé, São Paulo, SP",01006-900
Rua Senador Feijó 143,Sé,"São Paulo, SP","Sé, São Paulo, SP",01006-901
Rua Senador Feijó - lado par,Sé,"São Paulo, SP","Sé, São Paulo, SP",01006-000
Rua Senador Paulo Egídio,Sé,"São Paulo, SP","Sé, São Paulo, SP",01006-010
Rua Senador Paulo Egídio 72,Sé,"São Paulo, SP","Sé, São Paulo, SP",01006-904
Rua Senador Paulo Egídio 15,Sé,"São Paulo, SP","Sé, São Paulo, SP",01006-903
Rua Silveira Martins,Sé,"São Paulo, SP","Sé, São Paulo, SP",01019-000
Largo São Francisco,Sé,"São Paulo, SP","Sé, São Paulo, SP",01005-010
Rua São Francisco,Sé,"São Paulo, SP","Sé, São Paulo, SP",01005-020
Rua Tabatinguera - lado par,Sé,"São Paulo, SP","Sé, São Paulo, SP",01020-000
Rua Tabatinguera 140,Sé,"São Paulo, SP","Sé, São Paulo, SP",01020-901
Rua Tabatinguera - lado ímpar,Sé,"São Paulo, SP","Sé, São Paulo, SP",01020-001
Rua Tabatinguera 294,Sé,"São Paulo, SP","Sé, São Paulo, SP",01020-903
Rua Tabatinguera 93,Sé,"São Paulo, SP","Sé, São Paulo, SP",01020-900
Rua Tabatinguera 340,Sé,"São Paulo, SP","Sé, São Paulo, SP",01020-904
Rua Tabatinguera 167,Sé,"São Paulo, SP","Sé, São Paulo, SP",01020-902
Rua Vasco Pereira,Sé,"São Paulo, SP","Sé, São Paulo, SP",01514-030
Viaduto Vinte e Cinco de Março,Sé,"São Paulo, SP","Sé, São Paulo, SP",01017-040
Praça da Sé - lado ímpar,Sé,"São Paulo, SP","Sé, São Paulo, SP",01001-000
Praça da Sé - lado par,Sé,"São Paulo, SP","Sé, São Paulo, SP",01001-001
Praça da Sé 385,Sé,"São Paulo, SP","Sé, São Paulo, SP",01001-902
Praça da Sé 371,Sé,"São Paulo, SP","Sé, São Paulo, SP",01001-901
Praça da Sé 108,Sé,"São Paulo, SP","Sé, São Paulo, SP",01001-900
Rua das Carmelitas,Sé,"São Paulo, SP","Sé, São Paulo, SP",01020-010
Rua das Flores,Sé,"São Paulo, SP","Sé, São Paulo, SP",01019-010
Rua do Carmo,Sé,"São Paulo, SP","Sé, São Paulo, SP",01019-020
Rua do Carmo 171,Sé,"São Paulo, SP","Sé, São Paulo, SP",01019-900
Rua do Ouvidor,Sé,"São Paulo, SP","Sé, São Paulo, SP",01005-030
Praça do Patriarca,Sé,"São Paulo, SP","Sé, São Paulo, SP",01002-010
Rua dos Aflitos,Sé,"São Paulo, SP","Sé, São Paulo, SP",01505-030
Rua dos Estudantes - lado par,Sé,"São Paulo, SP","Sé, São Paulo, SP",01505-000
Rua dos Estudantes - lado ímpar,Sé,"São Paulo, SP","Sé, São Paulo, SP",01505-001
Travessa dos Estudantes,Sé,"São Paulo, SP","Sé, São Paulo, SP",01505-060
Viela dos Estudantes,Sé,"São Paulo, SP","Sé, São Paulo, SP",01505-050
Rua Adamastor,Tatuapé,"São Paulo, SP","Tatuapé, São Paulo, SP",03316-090
Travessa Adelaide de Ascenção Raymundo,Tatuapé,"São Paulo, SP","Tatuapé, São Paulo, SP",03081-033
Praça Afonso de Albuquerque,Tatuapé,"São Paulo, SP","Tatuapé, São Paulo, SP",03316-080
Praça Algo Pinori,Tatuapé,"São Paulo, SP","Tatuapé, São Paulo, SP",03077-075
Rua Almirante Calheiros,Tatuapé,"São Paulo, SP","Tatuapé, São Paulo, SP",03066-070
Rua Amaral Auricchio,Tatuapé,"São Paulo, SP","Tatuapé, São Paulo, SP",03081-001
Praça Ana Jarvis,Tatuapé,"São Paulo, SP","Tatuapé, São Paulo, SP",03316-040
Rua André Vidal,Tatuapé,"São Paulo, SP","Tatuapé, São Paulo, SP",03065-070
Rua Antônia Vieira Restolho,Vila Zilda (Tatuapé),"São Paulo, SP","Vila Zilda (Tatuapé), São Paulo, SP",02318-460
Travessa Antônio Emílio da Silva,Tatuapé,"São Paulo, SP","Tatuapé, São Paulo, SP",03090-031
Rua Antônio Morais Barros,Vila Zilda (Tatuapé),"São Paulo, SP","Vila Zilda (Tatuapé), São Paulo, SP",03069-050
Rua Antônio Teixeira,Chácara Tatuapé,"São Paulo, SP","Chácara Tatuapé, São Paulo, SP",03060-023
Rua Antônio de Barros - até 699/700,Tatuapé,"São Paulo, SP","Tatuapé, São Paulo, SP",03089-000
Rua Antônio de Barros 376,Tatuapé,"São Paulo, SP","Tatuapé, São Paulo, SP",03089-900
Rua Antônio de Barros - de 701/702 a 1349/1350,Tatuapé,"São Paulo, SP","Tatuapé, São Paulo, SP",03401-000
Rua Apucarana - até 999/1000,Tatuapé,"São Paulo, SP","Tatuapé, São Paulo, SP",03311-000
Rua Apucarana 60,Tatuapé,"São Paulo, SP","Tatuapé, São Paulo, SP",03311-900
Rua Apucarana - de 1001/1002 ao fim,Tatuapé,"São Paulo, SP","Tatuapé, São Paulo, SP",03311-001
Ponte Aricanduva,Tatuapé,"São Paulo, SP","Tatuapé, São Paulo, SP",03090-003
Rua Artur Mendonça,Tatuapé,"São Paulo, SP","Tatuapé, São Paulo, SP",03067-040
